EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
14,35,0,Travel_Rarely,809,Research & Development,16,Bachelor,Medical,Male,84,1,Laboratory Technician,Medium,Married,2426,16479,0,Yes,No,13,Excellent,High,6,5,3,5,4,0
15,29,0,Travel_Rarely,153,Research & Development,15,College,Life Sciences,Female,49,2,Laboratory Technician,High,Single,4193,12682,0,Yes,Yes,12,Excellent,Very High,10,3,3,9,5,0
16,31,0,Travel_Rarely,670,Research & Development,26,Below College,Life Sciences,Male,31,1,Research Scientist,High,Divorced,2911,15170,1,Yes,No,17,Excellent,Very High,5,1,2,5,2,4
18,34,0,Travel_Rarely,1346,Research & Development,19,College,Medical,Male,93,1,Laboratory Technician,Very High,Divorced,2661,8758,0,Yes,No,11,Excellent,High,3,2,3,2,2,1
19,28,1,Travel_Rarely,103,Research & Development,24,Bachelor,Life Sciences,Male,50,1,Laboratory Technician,High,Single,2028,12947,5,Yes,Yes,14,Excellent,Medium,6,4,3,4,2,0
20,29,0,Travel_Rarely,1389,Research & Development,21,Master,Life Sciences,Female,51,3,Manufacturing Director,Low,Divorced,9980,10195,1,Yes,No,11,Excellent,High,10,1,3,10,9,8
21,32,0,Travel_Rarely,334,Research & Development,5,College,Life Sciences,Male,80,1,Research Scientist,Medium,Divorced,3298,15053,0,Yes,Yes,12,Excellent,Very High,7,5,2,6,2,0
22,22,0,Non-Travel,1123,Research & Development,16,College,Medical,Male,96,1,Laboratory Technician,Very High,Divorced,2935,7324,1,Yes,Yes,13,Excellent,Medium,1,2,2,1,0,0
23,53,0,Travel_Rarely,1219,Sales,2,Master,Life Sciences,Female,78,4,Manager,Very High,Married,15427,22021,2,Yes,No,16,Excellent,High,31,3,3,25,8,3
24,38,0,Travel_Rarely,371,Research & Development,2,Bachelor,Life Sciences,Male,45,1,Research Scientist,Very High,Single,3944,4306,5,Yes,Yes,11,Excellent,High,6,3,3,3,2,1
26,24,0,Non-Travel,673,Research & Development,11,College,Other,Female,96,2,Manufacturing Director,High,Divorced,4011,8232,0,Yes,No,18,Excellent,Very High,5,5,2,4,2,1
27,36,1,Travel_Rarely,1218,Sales,9,Master,Life Sciences,Male,82,1,Sales Representative,Low,Single,3407,6986,7,Yes,No,23,Outstanding,Medium,10,4,3,5,3,0
28,34,0,Travel_Rarely,419,Research & Development,7,Master,Life Sciences,Female,53,3,Research Director,Medium,Single,11994,21293,0,Yes,No,11,Excellent,High,13,4,3,12,6,2
30,21,0,Travel_Rarely,391,Research & Development,15,College,Life Sciences,Male,96,1,Research Scientist,Very High,Single,1232,19281,1,Yes,No,14,Excellent,Very High,0,6,3,0,0,0
31,34,1,Travel_Rarely,699,Research & Development,6,Below College,Medical,Male,83,1,Research Scientist,Low,Single,2960,17102,2,Yes,No,11,Excellent,High,8,2,3,4,2,1
32,53,0,Travel_Rarely,1282,Research & Development,5,Bachelor,Other,Female,58,5,Manager,High,Divorced,19094,10735,4,Yes,No,11,Excellent,Very High,26,3,2,14,13,4
33,32,1,Travel_Frequently,1125,Research & Development,16,Below College,Life Sciences,Female,72,1,Research Scientist,Low,Single,3919,4681,1,Yes,Yes,22,Outstanding,Medium,10,5,3,10,2,6
35,42,0,Travel_Rarely,691,Sales,8,Master,Marketing,Male,48,2,Sales Executive,Medium,Married,6825,21173,0,Yes,No,11,Excellent,Very High,10,2,3,9,7,4
36,44,0,Travel_Rarely,477,Research & Development,7,Master,Medical,Female,42,3,Healthcare Representative,Very High,Married,10248,2094,3,Yes,No,14,Excellent,Very High,24,4,3,22,6,5
38,46,0,Travel_Rarely,705,Sales,2,Master,Marketing,Female,83,5,Manager,Low,Single,18947,22822,3,Yes,No,12,Excellent,Very High,22,2,2,2,2,2
39,33,0,Travel_Rarely,924,Research & Development,2,Bachelor,Medical,Male,78,1,Laboratory Technician,Very High,Single,2496,6670,4,Yes,No,11,Excellent,Very High,7,3,3,1,1,0
40,44,0,Travel_Rarely,1459,Research & Development,10,Master,Other,Male,41,2,Healthcare Representative,Very High,Married,6465,19121,2,Yes,Yes,13,Excellent,Very High,9,5,4,4,2,1
41,30,0,Travel_Rarely,125,Research & Development,9,College,Medical,Male,83,1,Laboratory Technician,High,Single,2206,16117,1,Yes,No,13,Excellent,Low,10,5,3,10,0,1
42,39,1,Travel_Rarely,895,Sales,5,Bachelor,Technical Degree,Male,56,2,Sales Representative,Very High,Married,2086,3335,3,Yes,No,14,Excellent,High,19,6,4,1,0,0
45,24,1,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,Male,61,1,Research Scientist,Very High,Married,2293,3020,2,Yes,Yes,16,Excellent,Low,6,2,2,2,0,2
46,43,0,Travel_Rarely,1273,Research & Development,2,College,Medical,Female,72,1,Research Scientist,High,Divorced,2645,21923,1,Yes,No,12,Excellent,Very High,6,3,2,5,3,1
47,50,1,Travel_Rarely,869,Sales,3,College,Marketing,Male,86,1,Sales Representative,High,Married,2683,3810,1,Yes,Yes,14,Excellent,High,3,2,3,3,2,0
49,35,0,Travel_Rarely,890,Sales,2,Bachelor,Marketing,Female,97,1,Sales Representative,Very High,Married,2014,9687,1,Yes,No,13,Excellent,Low,2,3,3,2,2,2
51,36,0,Travel_Rarely,852,Research & Development,5,Master,Life Sciences,Female,82,1,Research Scientist,Low,Married,3419,13072,9,Yes,Yes,14,Excellent,Very High,6,3,4,1,1,0
52,33,0,Travel_Frequently,1141,Sales,1,Bachelor,Life Sciences,Female,42,2,Sales Executive,Low,Married,5376,3193,2,Yes,No,19,Excellent,Low,10,3,3,5,3,1
53,35,0,Travel_Rarely,464,Research & Development,4,College,Other,Male,75,1,Laboratory Technician,Very High,Divorced,1951,10910,1,Yes,No,12,Excellent,High,1,3,3,1,0,0
54,27,0,Travel_Rarely,1240,Research & Development,2,Master,Life Sciences,Female,33,1,Laboratory Technician,Low,Divorced,2341,19715,1,Yes,No,13,Excellent,Very High,1,6,3,1,0,0
55,26,1,Travel_Rarely,1357,Research & Development,25,Bachelor,Life Sciences,Male,48,1,Laboratory Technician,High,Single,2293,10558,1,Yes,No,12,Excellent,High,1,2,2,1,0,0
56,27,0,Travel_Frequently,994,Sales,8,Bachelor,Life Sciences,Male,37,3,Sales Executive,High,Single,8726,2975,1,Yes,No,15,Excellent,Very High,9,0,3,9,8,1
57,30,0,Travel_Frequently,721,Research & Development,1,College,Medical,Female,58,2,Laboratory Technician,Very High,Single,4011,10781,1,Yes,No,23,Outstanding,Very High,12,2,3,12,8,3
58,41,1,Travel_Rarely,1360,Research & Development,12,Bachelor,Technical Degree,Female,49,5,Research Director,High,Married,19545,16280,1,Yes,No,12,Excellent,Very High,23,0,3,22,15,15
60,34,0,Non-Travel,1065,Sales,23,Master,Marketing,Male,72,2,Sales Executive,High,Single,4568,10034,0,Yes,No,20,Outstanding,High,10,2,3,9,5,8
61,37,0,Travel_Rarely,408,Research & Development,19,College,Life Sciences,Male,73,1,Research Scientist,Medium,Married,3022,10227,4,Yes,No,21,Outstanding,Low,8,1,3,1,0,0
62,46,0,Travel_Frequently,1211,Sales,5,Master,Marketing,Male,98,2,Sales Executive,Very High,Single,5772,20445,4,Yes,Yes,21,Outstanding,High,14,4,3,9,6,0
63,35,0,Travel_Rarely,1229,Research & Development,8,Below College,Life Sciences,Male,36,1,Laboratory Technician,Very High,Married,2269,4892,1,Yes,No,19,Excellent,Very High,1,2,3,1,0,0
64,48,1,Travel_Rarely,626,Research & Development,1,College,Life Sciences,Male,98,3,Laboratory Technician,High,Single,5381,19294,9,Yes,Yes,13,Excellent,Very High,23,2,3,1,0,0
65,28,1,Travel_Rarely,1434,Research & Development,5,Master,Technical Degree,Male,50,1,Laboratory Technician,High,Single,3441,11179,1,Yes,Yes,13,Excellent,High,2,3,2,2,2,2
68,44,0,Travel_Rarely,1488,Sales,1,Doctor,Marketing,Female,75,2,Sales Executive,Low,Divorced,5454,4009,5,Yes,Yes,21,Outstanding,High,9,2,2,4,3,1
70,35,0,Non-Travel,1097,Research & Development,11,College,Medical,Male,79,3,Healthcare Representative,Low,Married,9884,8302,2,Yes,Yes,13,Excellent,High,10,3,3,4,0,2
72,26,0,Travel_Rarely,1443,Sales,23,Bachelor,Marketing,Female,47,2,Sales Executive,Very High,Married,4157,21436,7,Yes,Yes,19,Excellent,High,5,2,2,2,2,0
73,33,0,Travel_Frequently,515,Research & Development,1,College,Life Sciences,Female,98,3,Research Director,Very High,Single,13458,15146,1,Yes,Yes,12,Excellent,High,15,1,3,15,14,8
74,35,0,Travel_Frequently,853,Sales,18,Doctor,Life Sciences,Male,71,3,Sales Executive,Low,Married,9069,11031,1,Yes,No,22,Outstanding,Very High,9,3,2,9,8,1
75,35,0,Travel_Rarely,1142,Research & Development,23,Master,Medical,Female,30,1,Laboratory Technician,Low,Married,4014,16002,3,Yes,Yes,15,Excellent,High,4,3,3,2,2,2
76,31,0,Travel_Rarely,655,Research & Development,7,Master,Life Sciences,Male,48,2,Laboratory Technician,Very High,Divorced,5915,9528,3,Yes,No,22,Outstanding,Very High,10,3,2,7,7,1
77,37,0,Travel_Rarely,1115,Research & Development,1,Master,Life Sciences,Male,51,2,Manufacturing Director,High,Divorced,5993,2689,1,Yes,No,18,Excellent,High,7,2,4,7,5,0
78,32,0,Travel_Rarely,427,Research & Development,1,Bachelor,Medical,Male,33,2,Manufacturing Director,Very High,Married,6162,10877,1,Yes,Yes,22,Outstanding,Medium,9,3,3,9,8,7
79,38,0,Travel_Frequently,653,Research & Development,29,Doctor,Life Sciences,Female,50,2,Laboratory Technician,Very High,Single,2406,5456,1,Yes,No,11,Excellent,Very High,10,2,3,10,3,9
80,50,0,Travel_Rarely,989,Research & Development,7,College,Medical,Female,43,5,Research Director,High,Divorced,18740,16701,5,Yes,Yes,12,Excellent,Very High,29,2,2,27,3,13
81,59,0,Travel_Rarely,1435,Sales,25,Bachelor,Life Sciences,Female,99,3,Sales Executive,Low,Single,7637,2354,7,Yes,No,11,Excellent,Very High,28,3,2,21,16,7
83,36,0,Travel_Rarely,1223,Research & Development,8,Bachelor,Technical Degree,Female,59,3,Healthcare Representative,High,Divorced,10096,8202,1,Yes,No,13,Excellent,Medium,17,2,3,17,14,12
84,55,0,Travel_Rarely,836,Research & Development,8,Bachelor,Medical,Female,33,4,Manager,High,Divorced,14756,19730,2,Yes,Yes,14,Excellent,High,21,2,3,5,0,0
85,36,0,Travel_Frequently,1195,Research & Development,11,Bachelor,Life Sciences,Male,95,2,Manufacturing Director,Medium,Single,6499,22656,1,Yes,No,13,Excellent,High,6,3,3,6,5,0
86,45,0,Travel_Rarely,1339,Research & Development,7,Bachelor,Life Sciences,Male,59,3,Research Scientist,Low,Divorced,9724,18787,2,Yes,No,17,Excellent,High,25,2,3,1,0,0
88,35,0,Travel_Frequently,664,Research & Development,1,Bachelor,Medical,Male,79,1,Research Scientist,Low,Married,2194,5868,4,Yes,No,13,Excellent,Very High,5,2,2,3,2,1
90,36,1,Travel_Rarely,318,Research & Development,9,Bachelor,Medical,Male,79,1,Research Scientist,High,Married,3388,21777,0,Yes,Yes,17,Excellent,Low,2,0,2,1,0,0
91,59,0,Travel_Frequently,1225,Sales,1,Below College,Life Sciences,Female,57,2,Sales Executive,High,Single,5473,24668,7,Yes,No,11,Excellent,Very High,20,2,2,4,3,1
94,29,0,Travel_Rarely,1328,Research & Development,2,Bachelor,Life Sciences,Male,76,1,Research Scientist,Medium,Married,2703,4956,0,Yes,No,23,Outstanding,Very High,6,3,3,5,4,0
95,31,0,Travel_Rarely,1082,Research & Development,1,Master,Medical,Male,87,1,Research Scientist,Medium,Single,2501,18775,1,Yes,No,17,Excellent,Medium,1,4,3,1,1,1
96,32,0,Travel_Rarely,548,Research & Development,1,Bachelor,Life Sciences,Male,66,2,Research Scientist,Medium,Married,6220,7346,1,Yes,No,17,Excellent,Medium,10,3,3,10,4,0
97,36,0,Travel_Rarely,132,Research & Development,6,Bachelor,Life Sciences,Female,55,1,Laboratory Technician,Very High,Married,3038,22002,3,Yes,No,12,Excellent,Medium,5,3,3,1,0,0
98,31,0,Travel_Rarely,746,Research & Development,8,Master,Life Sciences,Female,61,2,Manufacturing Director,Very High,Single,4424,20682,1,Yes,No,23,Outstanding,Very High,11,2,3,11,7,1
100,35,0,Travel_Rarely,776,Sales,1,Master,Marketing,Male,32,2,Sales Executive,Low,Single,4312,23016,0,Yes,No,14,Excellent,Medium,16,2,3,15,13,2
101,45,0,Travel_Rarely,193,Research & Development,6,Master,Other,Male,52,3,Research Director,Low,Married,13245,15067,4,Yes,Yes,14,Excellent,Medium,17,3,4,0,0,0
102,37,0,Travel_Rarely,397,Research & Development,7,Master,Medical,Male,30,3,Research Director,High,Single,13664,25258,4,Yes,No,13,Excellent,Low,16,3,4,5,2,0
103,46,0,Travel_Rarely,945,Human Resources,5,College,Medical,Male,80,2,Human Resources,Medium,Divorced,5021,10425,8,Yes,Yes,22,Outstanding,Very High,16,2,3,4,2,0
104,30,0,Travel_Rarely,852,Research & Development,1,Below College,Life Sciences,Male,55,2,Laboratory Technician,Very High,Married,5126,15998,1,Yes,Yes,12,Excellent,High,10,1,2,10,8,3
105,35,0,Travel_Rarely,1214,Research & Development,1,Bachelor,Medical,Male,30,1,Research Scientist,High,Single,2859,26278,1,Yes,No,18,Excellent,Low,6,3,3,6,4,0
106,55,0,Travel_Rarely,111,Sales,1,College,Life Sciences,Male,70,3,Sales Executive,Very High,Married,10239,18092,3,Yes,No,14,Excellent,Very High,24,4,3,1,0,1
107,38,0,Non-Travel,573,Research & Development,6,Bachelor,Medical,Female,79,2,Research Scientist,Very High,Divorced,5329,15717,7,Yes,Yes,12,Excellent,Very High,17,3,3,13,11,1
110,34,0,Travel_Rarely,1153,Research & Development,1,College,Medical,Male,94,2,Manufacturing Director,Medium,Married,4325,17736,1,Yes,No,15,Excellent,High,5,2,3,5,2,1
112,56,0,Travel_Rarely,1400,Research & Development,7,Bachelor,Life Sciences,Male,49,3,Manufacturing Director,Very High,Single,7260,21698,4,Yes,No,11,Excellent,Low,37,3,2,6,4,0
113,23,0,Travel_Rarely,541,Sales,2,Below College,Technical Degree,Male,62,1,Sales Representative,Low,Divorced,2322,9518,3,Yes,No,13,Excellent,High,3,3,3,0,0,0
116,51,0,Travel_Rarely,432,Research & Development,9,Master,Life Sciences,Male,96,1,Laboratory Technician,Very High,Married,2075,18725,3,Yes,No,23,Outstanding,Medium,10,4,3,4,2,0
117,30,0,Travel_Rarely,288,Research & Development,2,Bachelor,Life Sciences,Male,99,2,Healthcare Representative,Very High,Married,4152,15830,1,Yes,No,19,Excellent,Low,11,3,3,11,10,10
118,46,1,Travel_Rarely,669,Sales,9,College,Medical,Male,64,3,Sales Executive,Very High,Single,9619,13596,1,Yes,No,16,Excellent,Very High,9,3,3,9,8,4
119,40,0,Travel_Frequently,530,Research & Development,1,Master,Life Sciences,Male,78,4,Healthcare Representative,Medium,Married,13503,14115,1,Yes,No,22,Outstanding,Very High,22,3,2,22,3,11
120,51,0,Travel_Rarely,632,Sales,21,Master,Marketing,Male,71,2,Sales Executive,Very High,Single,5441,8423,0,Yes,Yes,22,Outstanding,Very High,11,2,1,10,7,1
121,30,0,Travel_Rarely,1334,Sales,4,College,Medical,Female,63,2,Sales Executive,Medium,Divorced,5209,19760,1,Yes,Yes,12,Excellent,Medium,11,4,2,11,8,2
124,46,0,Travel_Frequently,638,Research & Development,1,Bachelor,Medical,Male,40,3,Healthcare Representative,Low,Married,10673,3142,2,Yes,Yes,13,Excellent,High,21,5,2,10,9,9
125,32,0,Travel_Rarely,1093,Sales,6,Master,Medical,Male,87,2,Sales Executive,High,Single,5010,24301,1,Yes,No,16,Excellent,Low,12,0,3,11,8,5
126,54,0,Travel_Rarely,1217,Research & Development,2,Master,Technical Degree,Female,60,3,Research Director,High,Married,13549,24001,9,Yes,No,12,Excellent,Low,16,5,1,4,3,0
128,24,0,Travel_Rarely,1353,Sales,3,College,Other,Female,33,2,Sales Executive,High,Married,4999,17519,0,Yes,No,21,Outstanding,Low,4,2,2,3,2,0
129,28,0,Non-Travel,120,Sales,4,Bachelor,Medical,Male,43,2,Sales Executive,High,Married,4221,8863,1,Yes,No,15,Excellent,Medium,5,3,4,5,4,0
131,58,0,Travel_Rarely,682,Sales,10,Master,Medical,Male,37,4,Sales Executive,High,Single,13872,24409,0,Yes,No,13,Excellent,High,38,1,2,37,10,1
132,44,0,Non-Travel,489,Research & Development,23,Bachelor,Medical,Male,67,2,Laboratory Technician,Medium,Married,2042,25043,4,Yes,No,12,Excellent,High,17,3,4,3,2,1
133,37,1,Travel_Rarely,807,Human Resources,6,Master,Human Resources,Male,63,1,Human Resources,Low,Divorced,2073,23648,4,Yes,Yes,22,Outstanding,Very High,7,3,3,3,2,0
134,32,0,Travel_Rarely,827,Research & Development,1,Below College,Life Sciences,Male,71,1,Research Scientist,Low,Single,2956,15178,1,Yes,No,13,Excellent,Very High,1,2,3,1,0,0
137,20,1,Travel_Frequently,871,Research & Development,6,Bachelor,Life Sciences,Female,66,1,Laboratory Technician,Very High,Single,2926,19783,1,Yes,Yes,18,Excellent,Medium,1,5,3,1,0,1
138,34,0,Travel_Rarely,665,Research & Development,6,Master,Other,Female,41,2,Research Scientist,High,Single,4809,12482,1,Yes,No,14,Excellent,High,16,3,3,16,13,2
139,37,0,Non-Travel,1040,Research & Development,2,College,Life Sciences,Male,100,2,Healthcare Representative,Very High,Divorced,5163,15850,5,Yes,No,14,Excellent,Very High,17,2,4,1,0,0
140,59,0,Non-Travel,1420,Human Resources,2,Master,Human Resources,Female,32,5,Manager,Very High,Married,18844,21922,9,Yes,No,21,Outstanding,Very High,30,3,3,3,2,2
141,50,0,Travel_Frequently,1115,Research & Development,1,Bachelor,Life Sciences,Female,73,5,Research Director,Medium,Married,18172,9755,3,Yes,Yes,19,Excellent,Low,28,1,2,8,3,0
142,25,1,Travel_Rarely,240,Sales,5,Bachelor,Marketing,Male,46,2,Sales Executive,High,Single,5744,26959,1,Yes,Yes,11,Excellent,Very High,6,1,3,6,4,0
143,25,0,Travel_Rarely,1280,Research & Development,7,Below College,Medical,Male,64,1,Research Scientist,Very High,Married,2889,26897,1,Yes,No,11,Excellent,High,2,2,3,2,2,2
144,22,0,Travel_Rarely,534,Research & Development,15,Bachelor,Medical,Female,59,1,Laboratory Technician,Very High,Single,2871,23785,1,Yes,No,15,Excellent,High,1,5,3,0,0,0
145,51,0,Travel_Frequently,1456,Research & Development,1,Master,Medical,Female,30,3,Healthcare Representative,Low,Single,7484,25796,3,Yes,No,20,Outstanding,High,23,1,2,13,12,12
147,34,1,Travel_Frequently,658,Research & Development,7,Bachelor,Life Sciences,Male,66,2,Laboratory Technician,High,Single,6074,22887,1,Yes,Yes,24,Outstanding,Very High,9,3,3,9,7,0
148,54,0,Non-Travel,142,Human Resources,26,Bachelor,Human Resources,Female,30,4,Manager,Very High,Single,17328,13871,2,Yes,Yes,12,Excellent,High,23,3,3,5,3,4
150,24,0,Travel_Rarely,1127,Research & Development,18,Below College,Life Sciences,Male,52,1,Laboratory Technician,High,Married,2774,13257,0,Yes,No,12,Excellent,High,6,2,3,5,3,1
151,34,0,Travel_Rarely,1031,Research & Development,6,Master,Life Sciences,Female,45,2,Research Scientist,Medium,Divorced,4505,15000,6,Yes,No,15,Excellent,High,12,3,3,1,0,0
152,37,0,Travel_Rarely,1189,Sales,3,Bachelor,Life Sciences,Male,87,3,Sales Executive,Very High,Single,7428,14506,2,Yes,No,12,Excellent,Low,12,3,3,5,3,1
153,34,0,Travel_Rarely,1354,Research & Development,5,Bachelor,Medical,Female,45,3,Manager,Low,Single,11631,5615,2,Yes,No,12,Excellent,Very High,14,6,3,11,10,5
154,36,0,Travel_Frequently,1467,Sales,11,College,Technical Degree,Female,92,3,Sales Executive,Very High,Married,9738,22952,0,Yes,No,14,Excellent,High,10,6,3,9,7,2
155,36,0,Travel_Rarely,922,Research & Development,3,College,Life Sciences,Female,39,1,Laboratory Technician,Very High,Divorced,2835,2561,5,Yes,No,22,Outstanding,Low,7,2,3,1,0,0
158,43,0,Travel_Frequently,394,Sales,26,College,Life Sciences,Male,92,4,Manager,Very High,Married,16959,19494,1,Yes,Yes,12,Excellent,Very High,25,3,4,25,12,4
159,30,0,Travel_Frequently,1312,Research & Development,23,Bachelor,Life Sciences,Male,96,1,Research Scientist,High,Divorced,2613,22310,1,Yes,No,25,Outstanding,High,10,2,2,10,7,0
160,33,0,Non-Travel,750,Sales,22,College,Marketing,Male,95,2,Sales Executive,Medium,Married,6146,15480,0,Yes,No,13,Excellent,Low,8,2,4,7,7,0
161,56,1,Travel_Rarely,441,Research & Development,14,Master,Life Sciences,Female,72,1,Research Scientist,Medium,Married,4963,4510,9,Yes,Yes,18,Excellent,Low,7,2,3,5,4,4
162,51,0,Travel_Rarely,684,Research & Development,6,Bachelor,Life Sciences,Male,51,5,Research Director,High,Single,19537,6462,7,Yes,No,13,Excellent,High,23,5,3,20,18,15
163,31,1,Travel_Rarely,249,Sales,6,Master,Life Sciences,Male,76,2,Sales Executive,High,Married,6172,20739,4,Yes,Yes,18,Excellent,Medium,12,3,2,7,7,7
164,26,0,Travel_Rarely,841,Research & Development,6,Bachelor,Other,Female,46,1,Research Scientist,Medium,Married,2368,23300,1,Yes,No,19,Excellent,High,5,3,2,5,4,4
165,58,1,Travel_Rarely,147,Research & Development,23,Master,Medical,Female,94,3,Healthcare Representative,Very High,Married,10312,3465,1,Yes,No,12,Excellent,Very High,40,3,2,40,10,15
167,19,1,Travel_Rarely,528,Sales,22,Below College,Marketing,Male,50,1,Sales Representative,High,Single,1675,26820,1,Yes,Yes,19,Excellent,Very High,0,2,2,0,0,0
169,22,0,Travel_Rarely,594,Research & Development,2,Below College,Technical Degree,Male,100,1,Laboratory Technician,Very High,Married,2523,19299,0,Yes,No,14,Excellent,High,3,2,3,2,1,2
170,49,0,Travel_Rarely,470,Research & Development,20,Master,Medical,Female,96,2,Manufacturing Director,Low,Married,6567,5549,1,Yes,No,14,Excellent,High,16,2,2,15,11,5
171,43,0,Travel_Frequently,957,Research & Development,28,Bachelor,Medical,Female,72,1,Research Scientist,High,Single,4739,16090,4,Yes,No,12,Excellent,Very High,18,2,3,3,2,1
174,50,0,Travel_Frequently,809,Sales,12,Bachelor,Marketing,Female,77,3,Sales Executive,Very High,Single,9208,6645,4,Yes,No,11,Excellent,Very High,16,3,3,2,2,2
175,31,1,Travel_Rarely,542,Sales,20,Bachelor,Life Sciences,Female,71,2,Sales Executive,High,Married,4559,24788,3,Yes,Yes,11,Excellent,High,4,2,3,2,2,2
176,41,0,Travel_Rarely,802,Sales,9,Below College,Life Sciences,Male,96,3,Sales Executive,High,Divorced,8189,21196,3,Yes,Yes,13,Excellent,High,12,2,3,9,7,0
177,26,0,Travel_Rarely,1355,Human Resources,25,Below College,Life Sciences,Female,61,1,Human Resources,High,Married,2942,8916,1,Yes,No,23,Outstanding,Very High,8,3,3,8,7,5
178,36,0,Travel_Rarely,216,Research & Development,6,College,Medical,Male,84,2,Manufacturing Director,Medium,Divorced,4941,2819,6,Yes,No,20,Outstanding,Very High,7,0,3,3,2,0
179,51,1,Travel_Frequently,1150,Research & Development,8,Master,Life Sciences,Male,53,3,Manufacturing Director,Very High,Single,10650,25150,2,Yes,No,15,Excellent,Very High,18,2,3,4,2,0
182,39,0,Travel_Rarely,1329,Sales,4,Master,Life Sciences,Female,47,2,Sales Executive,High,Married,5902,14590,4,Yes,No,14,Excellent,High,17,1,4,15,11,5
183,25,0,Travel_Rarely,959,Sales,28,Bachelor,Life Sciences,Male,41,2,Sales Executive,High,Married,8639,24835,2,Yes,No,18,Excellent,Very High,6,3,3,2,2,2
184,30,0,Travel_Rarely,1240,Human Resources,9,Bachelor,Human Resources,Male,48,2,Human Resources,Very High,Married,6347,13982,0,Yes,Yes,19,Excellent,Very High,12,2,1,11,9,4
190,32,1,Travel_Rarely,1033,Research & Development,9,Bachelor,Medical,Female,41,1,Laboratory Technician,Low,Single,4200,10224,7,Yes,No,22,Outstanding,Low,10,2,4,5,4,0
192,45,0,Travel_Rarely,1316,Research & Development,29,Bachelor,Medical,Male,83,1,Research Scientist,Very High,Single,3452,9752,5,Yes,No,13,Excellent,Medium,9,2,2,6,5,0
193,38,0,Travel_Rarely,364,Research & Development,3,Doctor,Technical Degree,Female,32,2,Research Scientist,High,Single,4317,2302,3,Yes,Yes,20,Outstanding,Medium,19,2,3,3,2,2
194,30,0,Travel_Rarely,438,Research & Development,18,Bachelor,Life Sciences,Female,75,1,Research Scientist,High,Single,2632,23910,1,Yes,No,14,Excellent,High,5,4,2,5,4,0
195,32,0,Travel_Frequently,689,Sales,9,College,Medical,Male,35,2,Sales Executive,Very High,Divorced,4668,22812,0,Yes,No,17,Excellent,Very High,9,2,4,8,7,0
197,30,0,Travel_Rarely,201,Research & Development,5,Bachelor,Technical Degree,Female,84,1,Research Scientist,Low,Divorced,3204,10415,5,Yes,No,14,Excellent,Very High,8,3,3,3,2,2
